Search City,Job Title,Company,Location,Required Skills,Posted Date,Job URL,job_description_clean,training,sop,compliance,safety,certification,any_sop
Mumbai,Fleet Supervisor,Acko,Mumbai,fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-mumbai-1-to-3-years-241225503697,fleet supervisor acko mumbai fleet | data management | team management | administration | presentation skills | logistics | problem solving | analysis,0,0,0,0,0,False
Mumbai,Transport Executive,ISS India,Mumbai (All Areas)(Hiranandani Gardens Powai),Cab | Rostering | Travel Management | Transport Management | Vehicle Management | Fleet Management | Vehicle Tracking | Gps Tracking,1 day ago,https://www.naukri.com/job-listings-transport-executive-iss-india-mumbai-all-areas-2-to-7-years-250626028836,transport executive iss india mumbai (all areas)(hiranandani gardens powai) cab | rostering | travel management | transport management | vehicle management | fleet management | vehicle tracking | gps tracking,0,0,0,0,0,False
Mumbai,Manager - Operations,Movin Express,Mumbai (All Areas)(Bhiwandi),Operations | Fleet | first mile | Logistics Operations | Supply Chain Operations | Transport Operations | Route Planning | Vehicle Management,2 days ago,https://www.naukri.com/job-listings-manager-operations-movin-express-mumbai-all-areas-10-to-16-years-240626007533,manager - operations movin express mumbai (all areas)(bhiwandi) operations | fleet | first mile | logistics operations | supply chain operations | transport operations | route planning | vehicle management,0,0,0,0,0,False
Mumbai,Transport Executive,Euroschool Kharadi,"Mumbai, Hyderabad, Pune, Bengaluru",fleet | shipment | supply chain | warehouse operations | documentation | logistics | tracking | transportation operations,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-euroschool-kharadi-mumbai-hyderabad-pune-bengaluru-2-to-5-years-170225504838,"transport executive euroschool kharadi mumbai, hyderabad, pune, bengaluru fleet | shipment | supply chain | warehouse operations | documentation | logistics | tracking | transportation operations",0,0,0,0,0,False
Mumbai,Transport Executive,DMart,"Navi Mumbai, Bhiwandi, Dattwadi, Pune",Vehicle Management | Transportation | Transport Operations | Dispatch Planning | Shipment Tracking | Route Planning | Transport Management | Vehicle,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-dmart-bhiwandi-navi-mumbai-dattwadi-pune-3-to-7-years-230725020523,"transport executive dmart navi mumbai, bhiwandi, dattwadi, pune vehicle management | transportation | transport operations | dispatch planning | shipment tracking | route planning | transport management | vehicle",0,0,0,0,0,False
Mumbai,Executive - Transport,Cushman & Wakefield,Mumbai,Vehicle Management | Route Planning | Gps Tracking | Transport Operations | GPS | Vehicle | Management | Tracking,1 day ago,https://www.naukri.com/job-listings-executive-transport-cushman-wakefield-mumbai-3-to-5-years-250626022388,executive - transport cushman & wakefield mumbai vehicle management | route planning | gps tracking | transport operations | gps | vehicle | management | tracking,0,0,0,0,0,False
Mumbai,Service advisor,Apollo Hospitals,Mumbai,repair | advisory services | mechanical engineering | customer service | automobile | automobile service | vehicle maintenance | service engineering,1 week ago,https://www.naukri.com/job-listings-service-advisor-apollo-hospitals-mumbai-1-to-6-years-120626504876,service advisor apollo hospitals mumbai repair | advisory services | mechanical engineering | customer service | automobile | automobile service | vehicle maintenance | service engineering,0,0,0,0,0,False
Mumbai,Transport Coordinator- Male,TNT Business Services Pvt Ltd,Mumbai(Marol),Transport Management | Transportation | Vehicle Tracking | Dispatch | Supply Chain | Route Planning | Dispatch Planning | Logistics,3+ weeks ago,https://www.naukri.com/job-listings-transport-coordinator-male-tnt-business-services-mumbai-2-to-7-years-250526015102,transport coordinator- male tnt business services pvt ltd mumbai(marol) transport management | transportation | vehicle tracking | dispatch | supply chain | route planning | dispatch planning | logistics,0,0,0,0,0,False
Mumbai,Transport Executive,Sinotrans India,Mumbai,Vehicle management | Team management | Transport Executive | Safety management | Transport management | Management | Supervision | Logistics,3+ weeks ago,https://www.naukri.com/job-listings-transport-executive-sinotrans-india-private-limited-mumbai-2-to-6-years-190624501522,transport executive sinotrans india mumbai vehicle management | team management | transport executive | safety management | transport management | management | supervision | logistics,0,0,0,1,0,True
Mumbai,Service Advisor,For Client of Trevo Innovations Pvt. Ltd.,"Mumbai(Panvel), Navi Mumbai",Spare Parts | Advisory Services | Automobile | Customer Service | Car Service | Automotive Service | Solving Queries | Workshop Management,3 weeks ago,https://www.naukri.com/job-listings-service-advisor-trevo-innovations-mumbai-navi-mumbai-1-to-6-years-030626029823,"service advisor for client of trevo innovations pvt. ltd. mumbai(panvel), navi mumbai spare parts | advisory services | automobile | customer service | car service | automotive service | solving queries | workshop management",0,0,0,0,0,False
Mumbai,Fleet Supervisor,Acko,Mumbai,com | sosl | lightning | visualforce | soql | triggers | lighting | apex,3+ weeks ago,https://www.naukri.com/job-listings-fleet-supervisor-acko-general-mumbai-1-to-4-years-260825504558,fleet supervisor acko mumbai com | sosl | lightning | visualforce | soql | triggers | lighting | apex,0,0,0,0,0,False
